Flocking event,Number of birds,Volume (m3),Density r (m^-3),NND r1 (m),Velocity (m/s),Concavity,Balance shift,Thickness I1 (m),I2/I1,I3/I1,I1-G,V-G,V-I1
32-06,781,930,0.80,0.68,9.6,0.03,0.08,5.33,2.97,4.02,0.89,0.06,0.20
28-10,1246,1840,0.54,0.73,11.1,0.34,-0.06,5.29,3.44,6.93,0.80,0.09,0.41
25-11,1168,2340,0.38,0.79,8.8,0.37,-0.10,8.31,1.90,5.46,0.92,0.12,0.14
25-10,834,2057,0.34,0.87,12.0,0.05,0.00,6.73,2.65,4.98,0.99,0.18,0.18
21-06,617,2407,0.24,1.00,11.2,0.04,0.00,7.23,2.56,4.53,0.96,0.09,0.11
29-03,448,2552,0.13,1.09,10.1,0.20,0.00,6.21,3.58,5.96,0.97,0.27,0.06
25-08,1360,12646,0.09,1.25,11.9,0.19,0.16,11.92,3.32,5.12,0.95,0.14,0.12
17-06,534,5465,0.08,1.30,9.1,0.18,0.50,9.12,2.76,6.94,0.91,0.09,0.32
16-05,2631,28128,0.06,1.31,15.2,0.15,0.00,17.14,2.46,8.36,0.90,0.19,0.25
31-01,1856,33487,0.04,1.51,6.9,0.24,0.17,19.00,2.44,4.07,0.95,0.09,0.13